longvolume,shortvolume,change_2,change2,change_10,change_3,change,volume,change2x100,change_2x100,change_10x100,change_3x100,changex100,change_true,volume_t,change_2x1000
34.21,-166.47841,0.217871,-0.301257,-0.819463,-0.409892,-0.355192,-132.269502,-30.12574,21.787117,-81.946318,-40.989159,-35.519222,0,331,518
70.46,-34.44761,0.141127,-0.207711,-0.675546,-0.153696,0.137899,36.009688,-20.771072,14.112651,-67.554641,-15.369607,13.789914,0,331,441
31.07,-16.07012,-0.040737,0.207756,-0.616513,-0.138095,0.081109,14.995588,20.775605,-4.073724,-61.651305,-13.80949,8.110905,1,331,259
38.67,-7.4976,0.005687,0.152483,-0.487216,0.27922,0.071316,31.176071,15.248294,0.568743,-48.721615,27.922026,7.131605,1,331,306
9.16,-68.06132,0.093378,-0.040737,-0.592302,0.040339,-0.102986,-58.902594,-4.073724,9.337841,-59.230178,4.033876,-10.298622,0,331,393
21.14,0,0.096819,0.014685,-0.503757,0.077008,0.120436,21.140774,1.468523,9.681868,-50.375704,7.700753,12.04358,0,331,397
6.22,-29.45807,0.172034,0.096021,-0.45628,-0.009704,-0.024386,-23.234128,9.60208,17.203385,-45.628048,-0.970397,-2.438562,1,331,472
40.61,0,0.034761,0.096819,-0.019348,0.217371,0.121251,40.607141,9.681868,3.47611,-1.934815,21.737109,12.125113,1,331,335
31.09,-43.47959,-0.117618,0.172051,0.140496,0.147606,0.050738,-12.392499,17.205111,-11.761843,14.049603,14.760627,5.073846,1,331,182
18.38,-28.3519,-0.064954,0.034761,0.070339,0.156054,-0.015986,-9.975298,3.47611,-6.495433,7.033919,15.605438,-1.598647,0,331,235
4.99,-31.52323,0.035904,-0.117636,0.314823,-0.06694,-0.101665,-26.533744,-11.763562,3.590424,31.482275,-6.693965,-10.166541,0,331,336
18.2,-8.02354,-0.024318,-0.064954,0.224858,-0.08093,0.036748,10.179486,-6.495433,-2.431773,22.485796,-8.093042,3.674843,0,331,276
3.48,-24.32946,-0.148922,0.035904,0.142787,-0.065798,-0.000861,-20.844551,3.590424,-14.892155,14.278732,-6.579767,-0.086111,0,331,151
0.02,-119.98073,-0.276483,-0.024335,0.056931,0.012422,-0.023474,-119.962018,-2.433495,-27.648341,5.693113,1.242176,-2.347404,0,331,24
0,-47.33388,-0.217308,-0.148922,0.037045,-0.149781,-0.125477,-47.333877,-14.892155,-21.730784,3.704522,-14.978137,-12.547696,0,331,83
0.01,-66.02479,0.048558,-0.276483,-0.23436,-0.299893,-0.151179,-66.017422,-27.648341,4.855761,-23.43605,-29.989255,-15.117895,0,331,349
20.48,-43.2608,-0.017666,-0.217291,-0.276082,-0.342512,-0.064934,-22.776126,-21.729063,-1.766587,-27.608162,-34.251212,-6.493432,0,331,282
44.03,-13.72088,-0.031251,0.049837,-0.282462,-0.102695,0.114828,30.306222,4.983653,-3.125102,-28.24619,-10.269475,11.482813,0,331,269
22.25,-123.68374,0.168115,-0.017683,-0.464967,-0.082589,-0.132359,-101.429975,-1.768315,16.811473,-46.496701,-8.258872,-13.235929,0,331,468
57.4,-12.53699,0.172677,-0.031251,-0.348265,0.083541,0.101242,44.860429,-3.125102,17.2677,-34.826468,8.354122,10.124228,0,331,473
51.36,-5.24463,0.06676,0.168115,-0.18021,0.035533,0.066805,46.11045,16.811473,6.676023,-18.021032,3.553293,6.680482,1,331,367
40.52,-5.18836,-0.057069,0.172677,-0.111324,0.274094,0.105784,35.327143,17.2677,-5.706898,-11.132423,27.40941,10.578422,1,331,243
22.37,-29.49542,-0.292148,0.066743,-0.149421,0.13361,-0.039,-7.127263,6.674295,-29.214847,-14.942099,13.360965,-3.900001,0,331,8
40.28,-20.85672,-0.201667,-0.057069,-0.14403,0.048655,-0.018076,19.428175,-5.706898,-20.166685,-14.402977,4.865487,-1.807602,0,331,98
2.38,-54.34829,0.209815,-0.292148,-0.29263,-0.331035,-0.274122,-51.969925,-29.214847,20.981529,-29.263,-33.103454,-27.4122,0,331,510
53.7,-7.95172,0.10688,-0.201667,-0.067836,-0.219706,0.072672,45.747287,-20.166685,10.687988,-6.783642,-21.970641,7.267163,0,331,407
55.38,-2.8923,0.024426,0.209833,0.134136,-0.064882,0.137044,52.487842,20.983262,2.442634,13.413612,-6.488187,13.704408,1,331,324
9.29,-25.93359,0.021619,0.106863,-0.01086,0.179629,-0.030157,-16.647591,10.686258,2.161908,-1.086016,17.962918,-3.015746,1,331,322
29.86,-9.23847,-0.015118,0.024409,0.17631,0.161504,0.054566,20.620256,2.440907,-1.511819,17.630955,16.150389,5.456571,0,331,285
12.74,-20.7331,0.099578,0.021602,0.042021,-0.008545,-0.032946,-7.993485,2.16018,9.957817,4.202072,-0.85449,-3.294593,0,331,400
20.49,-10.94721,0.130233,-0.015118,-0.006956,0.039439,0.017834,9.542694,-1.511819,13.02329,-0.695563,3.943926,1.783361,0,331,430
32.73,0,-0.050774,0.099578,-0.030983,0.066599,0.081747,32.73066,9.957817,-5.077436,-3.098276,6.659944,8.174726,1,331,249
30.34,-11.8948,-0.036132,0.13025,0.056488,0.14809,0.04855,18.440369,13.025018,-3.613163,5.648756,14.808973,4.854957,1,331,264
2.4,-37.08387,0.064656,-0.050688,-0.024687,0.030931,-0.09919,-34.680609,-5.068817,6.465631,-2.468651,3.09314,-9.918959,0,331,365
21.65,-0.00506,-0.06753,-0.036132,0.313417,0.0124,0.063121,21.642451,-3.613163,-6.752986,31.341694,1.240041,6.312057,0,331,232
17.8,-15.96703,-0.124659,0.064656,0.242092,-0.034597,0.001535,1.828406,6.465631,-12.465932,24.209162,-3.459741,0.153477,0,331,175
0.01,-38.53921,-0.062226,-0.06753,0.03575,-0.004452,-0.069046,-38.532867,-6.752986,-6.222606,3.575048,-0.445192,-6.904634,0,331,238
19,-26.32709,0.029058,-0.124642,0.01024,-0.123126,-0.055634,-7.324876,-12.464209,2.905844,1.02397,-12.312646,-5.563417,0,331,329
0,-43.35587,0.029768,-0.062226,-0.050894,-0.131229,-0.006613,-43.355866,-6.222606,2.976831,-5.089447,-13.122943,-0.661282,0,331,330
17.74,-11.21893,-0.072875,0.029041,0.017695,-0.026592,0.035656,6.517881,2.904117,-7.287529,1.76955,-2.659189,3.565635,0,331,227
10.81,-16.0054,-0.149695,0.029768,-0.006007,0.023154,-0.005869,-5.19439,2.976831,-14.969486,-0.600677,2.315352,-0.586869,0,331,150
4.99,-23.10132,-0.035445,-0.072858,-0.154531,-0.037245,-0.066993,-18.112483,-7.285804,-3.544509,-15.45308,-3.724492,-6.699328,0,331,265
4.53,-30.3027,0.027453,-0.149695,-0.285571,-0.155555,-0.082757,-25.770594,-14.969486,2.745293,-28.557086,-15.555477,-8.275702,0,331,327
34.6,-0.00458,0.017228,-0.035445,-0.139304,-0.102415,0.047334,34.59843,-3.544509,1.722772,-13.930355,-10.241462,4.733382,0,331,317
9.84,-24.73512,-0.049429,0.027436,-0.222145,-0.055327,-0.019871,-14.894117,2.743564,-4.942937,-22.214497,-5.532681,-1.98715,0,331,251
12.62,-3.51923,-0.009312,0.017245,-0.186618,0.06457,0.037141,9.100932,1.7245,-0.931208,-18.661825,6.45697,3.714116,0,331,291
5.32,-24.65472,0.175371,-0.049412,-0.204072,-0.069291,-0.086521,-19.338504,-4.941209,17.537083,-20.407248,-6.929104,-8.652112,0,331,475
31.57,-6.26626,0.054927,-0.009312,-0.071377,0.027826,0.077259,25.302967,-0.931208,5.492737,-7.137706,2.782563,7.72586,0,331,355
30.97,-4.30968,0.058723,0.175354,0.033187,0.088698,0.098019,26.658832,17.53535,5.872285,3.318717,8.869797,9.801918,1,331,359
5,-23.27335,0.139082,0.054927,-0.0455,0.132228,-0.04305,-18.269049,5.492737,13.908215,-4.54996,13.22284,-4.304961,0,331,439
29.09,-2.52726,-0.066227,0.058723,0.062143,0.1568,0.101816,26.560187,5.872285,-6.622713,6.21427,15.679958,10.181629,0,331,234
14.7,-19.47996,-0.085896,0.139082,0.166499,0.095973,0.034104,-4.777655,13.908215,-8.589596,16.649862,9.597267,3.410444,1,331,214
0,-33.4837,0.036648,-0.069347,0.14577,0.035522,-0.103417,-33.4837,-6.934742,3.664844,14.57702,3.552173,-10.341659,0,331,337
7.13,-17.8163,-0.001916,-0.085896,0.115963,-0.051821,0.017522,-10.688975,-8.589596,-0.191581,11.596314,-5.182081,1.752151,0,331,298
29.21,0,-0.04528,0.036631,0.155011,-0.066806,0.019124,29.208674,3.663117,-4.52804,15.501121,-6.680605,1.912358,0,331,255
4.45,-20.13066,-0.068712,-0.001899,0.096783,0.015605,-0.021035,-15.682565,-0.189855,-6.871157,9.678341,1.560536,-2.103536,0,331,231
7.49,-10.28365,0.013967,-0.045298,0.159134,-0.026165,-0.024267,-2.790025,-4.529765,1.396663,15.913404,-2.616548,-2.426739,0,331,314
7.85,-12.75769,0.112957,-0.068712,0.037321,-0.089732,-0.044438,-4.903813,-6.871157,11.295721,3.732089,-8.973248,-4.443772,0,331,413
26.59,-2.6654,-0.015156,0.013984,-0.002227,-0.010304,0.058448,23.922524,1.39839,-1.515573,-0.22267,-1.030415,5.844758,0,331,285
23.32,0,-0.015924,0.112957,0.095341,0.068469,0.054478,23.316767,11.295721,-1.592383,9.534052,6.84693,5.447779,1,331,284
